variant_name,canonical_name,confidence,source
Grzesiek Łatuszynski,Grzesiek Łatuszyński,high,manual
Gabor Ivanicsko,Gábor Ivanicskó,high,manual
Gabor Jelenfi,Gábor Jelenfi,high,manual
Gosi lurko Gyorgy,Gősi lurko György,high,manual
Haka Kusnjerova,Haka Kusnjerová,high,manual
Hakan Hellberg Magnus Hellberg,Hakan Hellberg,medium,alias
Hanka Kusnjerova,Hanka Kusnjerová,high,manual
Hannee Tiger,Hanneé Tiger,high,manual
Hanna Mickiewicz,Hannia Mickiewicz,high,display_name
Hannes Daniel,Hannés Daniel,high,manual
Heike Koller,Heike Köller,high,manual
Hernan Moreno,Hernán Moreno,high,manual
Homola + Halasz,Homola + Halász,high,manual
Hugo Hajek,Hugo Hájek,high,manual
Hugues Veillette,Hugues Oli Veillette,medium,alias
Ivan Acosta,Iván Acosta,high,manual
Ivan Funes,Iván Funes,high,manual
Inigo Galdakao,Ińigo Galdakao,high,manual
J-F Belanger,J-F Bélanger,high,manual
Jake Jo Dodd,Jake Dodd,medium,alias
Jakob Brullmann,Jakob Brüllmann,high,manual
Jakub Mościszewski,Jakub Mosciszewski,high,bap
Jakub Scisinski,Jakub Ścisiński,high,manual
Jamie H. Lepley,Jamie Lepley,medium,alias
Jan Honza Weber,Jan Weber,medium,alias
Jana Cacakova,Jana Čačáková,high,manual
Jani Markkanen,Jani Sakari Markkanen,medium,alias
Jani Santti,Jani Säntti,high,manual
Javier Andres Osorio Morales,Javier Andrés Osorio Morales,high,manual
Jairo Lagos,Jaíro Lagos,high,manual
Jean Francois Belanger,Jean François Bélanger,high,manual
Jean Phillipe Labbe,Jean Phillipe Labbé,high,manual
Jean-Francois Veillette,Jean-François Veillette,high,manual
Jeff Animal Johnson,Jeff Johnson,medium,alias
Jenni Seppanen,Jenni Seppänen,high,manual
Jesse Ruotsalainen,Jesse Ruotsolainen,high,display_name
Jessica Cedeno,Jessica Cedeño,high,manual
Jesus Jimenez,Jesus Jiménez,high,manual
Jesus Bolivar,Jesús Bolívar,high,manual
Jesus Gomez,Jesús Gomez,high,manual
JF Belanger,JF Bélanger,high,manual
J-F Lemieux,JF Lemieux,medium,alias
Jimmy Caveney,Jim Caveney,high,display_name
Jimmy Caveny,Jim Caveney,high,display_name
Jim Toes Fitzgerald,Jim Fitzgerald,medium,alias
Jimi Kyytsonen,Jimi Kyytsönen,high,manual
Jiøi Pavlas,Jiøí Pavlas,high,manual
J.J. Jones,JJ Jones,medium,alias
