event_key,discipline_key,placement,original_display,corrected_player_a,corrected_player_b,correction_type,source_note,active,verification_level,verified_by,confidence
2017_eurochamp_aranjuez,open_doubles_net,8,,Manuel Kruse,Simon Voss,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,9,,Rosen Kyrta,Ivan Stanev,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,10,,Joschka Sebrandtke,Hendrik Simon,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,11,,Sam Maleki,Maciej Samborowski,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,12,,Jakub Grabarczyk,Plamena Ivanova,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,13,,Benjamin Kanske,Tammo Rockel,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,14,,Yves Mingard,Renato Zülli,MISSING_PARTNER,Mirror source (mojibake: Renato Z),1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,15,,Julien Coblence,Quentin Isackson,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,16,,Nicholas Janin,David Rambaud,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,17,,Michal Klimczak,Michal Rog,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,18,,Santeri Karvinen,Tuomas Riisalo,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,19,,Steve Kuntze,Robin Püchel,MISSING_PARTNER,Mirror source (mojibake: Robin P chel),1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,20,,David Chabannes,Silwan Daouk,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,21,,Anthony Arnaud,Sven Depoilly,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,23,,Timothée Lerolle,Barthélémy Meridjen,MISSING_PARTNER,Mirror source (mojibake both names),1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,25,,Eduardo Frenzel Martinez,Darwins Mora,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,26,,Kristiyan Dimitrov,Zdravko Doichev,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2017_eurochamp_aranjuez,open_doubles_net,27,,Jari John,Janis Thal,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,1,,Andy Ronald,Thomas Loria,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,2,,Jake Leong,Yossarian Kelley,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,3,,Jim Derricott,Crass Eddicott,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,4,,Iain McKechnie,Jim Cobb,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,5,,Pat Quinn,Ben Cochrane,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,6,,André Lemaire,Jon Hayduk,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,7,,Maude Landreville,Katia Couture,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
