event_id,event_name,original_name
1068164371,Portland Footbag Jam 2003 (Oct 23),Footbag WorldWide Event Listing: Event Listing
1068164424,Portland Footbag Jam 2003 (Oct 31),Footbag WorldWide Event Listing: Event Listing
