event_id,notes
1023993464,Funtastik Summer Classic Footbag Tournament
1030642331,Seattle Juggling and Footbag Festival
1099545007,Seapa NZ Footbag Nationals 2005
1151949245,ShrEdmonton 2006
1278991986,23rd Annual Vancouver Open Footbag Championships
1299244521,Warsaw Footbag Open 2011
860082052,Texas State Footbag Championships
941066992,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS
959094047,Battle of the Year Switzerland
