alias,person_id,person_canon,status,notes
Elle Shults,17f1d5dd-7053-5cdb-b2d1-289152953428,Elle Shults,verified,
Elliot Johns,d28e7fec-29c9-5a16-82df-5952178d8517,Elliott Johns,verified,
Elliott J.,d28e7fec-29c9-5a16-82df-5952178d8517,Elliott Johns,verified,
Elliott Johns,d28e7fec-29c9-5a16-82df-5952178d8517,Elliott Johns,verified,
Elliott Johns,d28e7fec-29c9-5a16-82df-5952178d8517,Elliott Johns,verified,
Ellis Piltz,1685a8aa-0446-562c-bfe0-186e50c8c93b,Eliot Piltz Galán,verified,confirmed same person 2026-03-27; 2003-2004 results
Emanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emanuel Bouchard,verified,
Emil Koefod,c962be4d-1c54-525f-91a2-dab6aa854417,Emil Koefod,verified,
Emil Kofod,c962be4d-1c54-525f-91a2-dab6aa854417,Emil Koefod,verified,
Emilie Chevat,329d0cca-4efb-5e77-8bd5-ff1191bcdf5f,Emilie Chevat,verified,
Emilie Chévat,329d0cca-4efb-5e77-8bd5-ff1191bcdf5f,Emilie Chevat,verified,
Emilien Groussin,f81c53e1-a44e-5a20-894d-1cfeb2ed2b7a,Emilient Groussin,verified,
Emilient Groussin,f81c53e1-a44e-5a20-894d-1cfeb2ed2b7a,Emilient Groussin,verified,
Emily J.,24ebddfa-0047-5f90-a1db-18bc2ccc6ba3,Emily Johns,verified,
Emmanual Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bouchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bouchard-,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bouchard.,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuel Bourchard,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c,Emmanuel Bouchard,verified,
Emmanuelle Bouvier,620a8311-2a3a-5cdb-a5e3-c83a82f0bff1,Emmanuelle Bouvier,verified,
Emmanuelle Vincendeau,8e905f65-2782-500e-89d9-73bf26d459bc,Emmanuelle Vincendeau,verified,
Eric Burgess,051c1b5e-f34d-5e7b-a27c-50f94324c96d,Eric Burgess,verified,
Eric Burgess -,051c1b5e-f34d-5e7b-a27c-50f94324c96d,Eric Burgess,verified,
Eric Chang,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,verified,
Éric Côté,68829443-e056-5536-a236-83479656d2cc,Éric Côté,verified,
Eric Cote,68829443-e056-5536-a236-83479656d2cc,Eric Cote,verified,
Eric Dargent,8878d71c-056c-5816-b35e-9d098d15253b,Eric Dargent,verified,
Eric Duggan,9801a0a0-14a3-5d66-b574-dc69fb1036ad,Eric Duggan,verified,quarantine_split:existing_person
Eric Fonteneau,1645cd59-4ae0-5a7a-adaa-bead2c1d5a81,Eric Fonteneau,verified,
Eric M. Wulff,e8b82661-4428-5e51-a786-29bf7a23728f,Eric Wulff,verified,middle initial variant
Eric Reile,e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,verified,
Eric Reile ---,e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,verified,
Eric Reile ---,e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,verified,
Eric Reiley,e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,verified,
Eric Reilly,e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,verified,
Eric Windsor,aff8bed6-46fd-570d-962b-223a0780cdac,Eric Windsor,verified,
Eric Wulff,e8b82661-4428-5e51-a786-29bf7a23728f,Eric Wulff,verified,
Eric Wulff*,e8b82661-4428-5e51-a786-29bf7a23728f,Eric Wulff,verified,
Eric Wulff-,e8b82661-4428-5e51-a786-29bf7a23728f,Eric Wulff,verified,
Ermo Naarits,7d152d03-eac4-5b5c-a45d-dead65382c35,Ermo Naarits,verified,
Errol H. Stryker,c256196e-aeb4-5011-9dce-81719a307619,Erroll Stryker,suggested,ALIAS_MATCH via footbag.org member ID enrichment
Errol Stryker,c256196e-aeb4-5011-9dce-81719a307619,Erroll Stryker,verified,
Errol Stryker,c256196e-aeb4-5011-9dce-81719a307619,Erroll Stryker,verified,
Erroll Stryker,c256196e-aeb4-5011-9dce-81719a307619,Erroll Stryker,verified,
Estéban Restrepo,bccd6d14-b132-5b0c-83bd-8eb8299409a2,Esteban Restrepo,verified,redirected:71912612-776a-5f0c-9acd-270370a442e4->bccd6d14
Esteban Restrepo,bccd6d14-b132-5b0c-83bd-8eb8299409a2,Esteban Restrepo,verified,
ESTEBAN RESTRPO,bccd6d14-b132-5b0c-83bd-8eb8299409a2,Esteban Restrepo,verified,redirected:71912612-776a-5f0c-9acd-270370a442e4->bccd6d14
Ethan Husted,10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,verified,
Ethan Husted,10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,verified,
Ethan Red Husted,10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,verified,
Etienne Ruggeri,31fe03cd-4b0b-5eb3-b674-86bf4a5e876d,Etienne Ruggeri,verified,
Eurik Linder,fc767e35-5ca6-5aec-9080-269c6846e7fb,Eurik Liundner,verified,
Eurik Lindner,fc767e35-5ca6-5aec-9080-269c6846e7fb,Eurik Liundner,verified,
Eurik Lindner ????,fc767e35-5ca6-5aec-9080-269c6846e7fb,Eurik Lindner,verified,
Eurik Lindner Andreas Wolff,fc767e35-5ca6-5aec-9080-269c6846e7fb,Eurik Lindner,verified,quarantine_split:redirect_from_concat
Eurik Liundner,fc767e35-5ca6-5aec-9080-269c6846e7fb,Eurik Liundner,verified,
Evan Gatesman,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,verified,
Evan Lovely,bc25cbb5-3010-58ac-8bba-b7b745d309dd,Evan Lovely,verified,
Evanne La Marche,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne La Marche,verified,
Evanne Lamarch,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne LaMarche,verified,Hall page misspelling
Evanne LaMarche,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne La Marche,verified,
Evanne Lamarche,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne La Marche,verified,
Evanne LaMarche,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne LaMarche,verified,canonical self-alias
Evanne Lamarche,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne LaMarche,verified,
Evanne Lamarche -,299071d7-2781-514f-93b1-6b7a7059ab8a,Evanne La Marche,verified,
Evgeni Georgiev,a80dc595-1da9-5e51-9736-c4d2b1e892fa,Evgeni Georgiev,verified,
Evgeni Shiryaev,24fb402d-fa5a-53c4-9d1a-e2c4667ccd4d,Evgeni Shiryaev,verified,
Evgenia Tsybulskaya,5741a906-7ac9-539d-a075-f7b3a86567dd,Evgenia Tsybulskaya,verified,
Evgeniy Kuharenko,d67801c8-43f5-5d70-a3b2-852985667026,Evgeniy Kuharenko,verified,
Evgeniy Yoga Kichigin,56cebb12-f263-584e-ad0b-1b8fe05c4936,Evgeniy Yoga Kichigin,verified,
Evgeny Kichigin,56cebb12-f263-584e-ad0b-1b8fe05c4936,Evgeniy Yoga Kichigin,verified,
Evgeny Yoga Kichigin,56cebb12-f263-584e-ad0b-1b8fe05c4936,Evgeniy Yoga Kichigin,verified,
Fabien Rifaud,476c0482-e7af-5795-893d-6a2900ab235b,Fabien Riffau,verified,
Fabien Riffau,476c0482-e7af-5795-893d-6a2900ab235b,Fabien Riffau,verified,
Fabien Riffaud,9337337c-b3c1-53a6-9f38-ee3923ef6c13,Fabien Riffaud,verified,
Fabien Riffaud Guillaume Degat,9337337c-b3c1-53a6-9f38-ee3923ef6c13,Fabien Riffaud,verified,quarantine_split:redirect_from_concat
Fanda Hajek,e7531f0e-b30b-573c-81cb-86d73b75f88e,Fanda Hajek,verified,
Fanda Hajek,e7531f0e-b30b-573c-81cb-86d73b75f88e,Fanda Hajek,verified,
Fanda Hajek,e7531f0e-b30b-573c-81cb-86d73b75f88e,Fanda Hajek,verified,
Faris Barakat,0012c28e-3f60-5c87-8d19-869ef819e724,Faris Barakat,verified,
Felix Ostwald,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,
Felix Ostwald,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,
Felix Ostwaldt,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,
Felix Ostwaldt,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,
Felix Ostwaldt ???,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,
Felix Ostwaldt Grischa Tellenbach,3e3269dc-9c8f-5a7d-a113-922c71054fdb,Felix Ostwaldt,verified,quarantine_split:redirect_from_concat
Felix Vogelsanger,32bbbcf6-957d-5549-9658-1aa7c742aa74,Felix Vogelsanger,verified,
Felix Zenger,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,verified,
Felix Zenger ?,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,verified,
Fernando Moreno Garcia,0327cbbc-8b68-573c-9e55-beb4c6338aa8,Fernando Moreno Garcia,verified,
Filip Wójcie,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,candidate,
Filip Wojcik,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,verified,
Filip Wójcik,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,candidate,
Filip Wójcik,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,candidate,
Filip Wojcik,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,verified,
Filip Wojciuk,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,candidate,
Filip Wojciuk,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,verified,
Fine Schwenbeck,93981cd5-55c5-5bc6-a418-3c9984e9cdb7,Fine Schwengbeck,verified,redirected:edb868cb-0fec-5ecb-8390-50456ef60ea0->93981cd5
Fine Schwengbeck,93981cd5-55c5-5bc6-a418-3c9984e9cdb7,Fine Schwengbeck,verified,
Fiodor Tihhomirov,f91fafe9-a6db-5a2a-9c55-9a54a1f96701,Fjodor Tihhomirov,verified,
Fjodor Tihhomirov,f91fafe9-a6db-5a2a-9c55-9a54a1f96701,Fjodor Tihhomirov,verified,
Flash Gordon Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Flash Gordon Scott Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Flash Kinglsey,fc14bc6e-94b0-50ef-9f0e-e75e1bcff2a1,Flash Kingsley,verified,
Flash Kingsley,fc14bc6e-94b0-50ef-9f0e-e75e1bcff2a1,Flash Kingsley,verified,
Flavio Loetscher,4dad34f3-16a0-533a-9ec9-dd23bafdcae3,Flavio Loetscher,verified,
Flavio Lötscher,4dad34f3-16a0-533a-9ec9-dd23bafdcae3,Flavio Loetscher,verified,
Flavio L�tscher,4dad34f3-16a0-533a-9ec9-dd23bafdcae3,Flavio Loetscher,verified,
Fletch Funk,0539e096-7911-5237-8814-b514ed5442e2,Fletcher Funk,verified,
Fletcher Funk,0539e096-7911-5237-8814-b514ed5442e2,Fletcher Funk,verified,
Fletcher Funk,0539e096-7911-5237-8814-b514ed5442e2,Fletcher Funk,verified,
Flip Derr,c27376a4-743e-59d6-afe4-de633ef0b323,Flipp Derr,verified,
Flipp Derr,c27376a4-743e-59d6-afe4-de633ef0b323,Flipp Derr,verified,
Flo Goetze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Flo Gotze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Flo Götze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Florian Goetze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Florian Goetze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Florian Goetze Jani Markkanen,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,quarantine_split:redirect_from_concat
Florian Götze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Florian G�tze,ab966624-6643-5dea-b165-67e66af402f9,Florian Goetze,verified,
Flurin Bischoff,d25f994e-0337-5fc5-923d-8f1c88d4a44d,Flurin Bischoff,verified,
Forest Schrodt,a8489587-4463-53fe-b8d2-4717ee6ef01a,Forest Schrodt,verified,
Forest Schrodt,a8489587-4463-53fe-b8d2-4717ee6ef01a,Forest Schrodt,verified,
Forest Shrodt,a8489587-4463-53fe-b8d2-4717ee6ef01a,Forest Schrodt,verified,
Francesca Ryan,7e147fbe-27a7-514e-9bd5-fbb1bcd6f389,Francesca Ryan,verified,
Franck Remy,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Remy,verified,
Franck Rémy,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Remy,candidate,
François D.,87e0d502-d749-53dd-997b-f266371d1474,François Depatie,verified,gate4:identified
François Depatie Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,redirected:39728695-e778-54e8-81fa-0a250d900d50->9d9b7019
François Depatie-Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,redirected:39728695-e778-54e8-81fa-0a250d900d50->9d9b7019
Francois Leh,27569bfc-a9e1-58c3-845b-ba0a01f4d9d7,Francois Leh,verified,
François Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,
Francois Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,
François Perreault,ec487576-891e-5f91-8652-420c0930a1d1,François Perreault,verified,
Francois Stierli,bb0ecbf8-113a-53f8-941a-e6737c1d0c37,Francois Stierli,verified,
Frank Diaz,39536eda-03ed-5996-aa21-e2d8ea0ad4d4,Frank Diaz,verified,
Frank Díaz,39536eda-03ed-5996-aa21-e2d8ea0ad4d4,Frank Diaz,verified,
Fran�ois Depatie,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,candidate,redirected:39728695-e778-54e8-81fa-0a250d900d50->9d9b7019
Fran�ois Depatie Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,redirected:39728695-e778-54e8-81fa-0a250d900d50->9d9b7019
Fran�ois Leh,27569bfc-a9e1-58c3-845b-ba0a01f4d9d7,Francois Leh,verified,
Fran�ois Leh -,27569bfc-a9e1-58c3-845b-ba0a01f4d9d7,Francois Leh,verified,
Franois Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,Francois Pelletier,verified,encoding_corruption
Fr�d�ric Touzelet,414acac1-acb2-58f9-9c40-c0f8a8f2d70c,Fred Touzelet,verified,
Fred Touzelet,414acac1-acb2-58f9-9c40-c0f8a8f2d70c,Fred Touzelet,verified,
G Nelson,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
G. Nelson,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
Gabor Toth,83ab50fd-b7bc-53c7-8103-9f1f9ff557f3,Gabor Toth,verified,
Gabriel Bohórquez,58e954c3-17c4-5bcd-a355-c06fdf2af76f,Gabriel Bohórquez,verified,
Gabriel Bohorquez,58e954c3-17c4-5bcd-a355-c06fdf2af76f,Gabriel Bohorquez,verified,
Gabriel Gaudette,079f9c62-8932-55ad-8ae9-204ed637793f,Gabriel Gaudette,verified,
Gabriel Marquina,e4358f0b-98bc-5edd-a04b-affbdbb789e6,Gabriel Marquina,verified,
Garry Gaman,2105e067-8f7a-58ca-a28e-df00cf215a4f,Garry Gamon,verified,
Garry Gamon,2105e067-8f7a-58ca-a28e-df00cf215a4f,Garry Gamon,verified,
Garth Smith,08ecb6e2-5ae2-539e-a4be-41cb2d98524b,Garth Smith,verified,
Garth Smith-,08ecb6e2-5ae2-539e-a4be-41cb2d98524b,Garth Smith,verified,
Gary Williams,aebe4382-9ddc-55d0-9924-9be69c2e9f30,Gary Williams,verified,
Gaudenz Scherer,7d510ac0-f8d0-578a-ad76-d12fd3733b16,Gaudenz Scherer,verified,
Gaylene Grossen,3975e864-a494-5e72-a6ca-0d0885e32e2b,Gaylene Grossen,verified,
Geber Orta,5f1f3e9d-50c5-5117-a18c-9d5f0d2591a8,geber Orta,verified,
geber Orta,5f1f3e9d-50c5-5117-a18c-9d5f0d2591a8,geber Orta,verified,
Genevieve Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,verified,
Geneviève Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,verified,
Genevieve Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,verified,
Genevive Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,verified,encoding_corruption
Genvieve Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,Geneviève Bousquet,verified,
Geoff Hand,2fba2bff-d73a-5082-ad4c-b956439788bd,Geoff Hand,verified,
Geoff Hand -,2fba2bff-d73a-5082-ad4c-b956439788bd,Geoff Hand,verified,
Georg Nebehay,f23609cd-a58e-5599-94e4-49e8228c9111,Georg Nebehay,verified,
Germain Uzcategui,80d153ff-7014-5830-acb1-e1162671323f,Germain Uzcategui,verified,
Germain Uzcategui Jimenez,80d153ff-7014-5830-acb1-e1162671323f,Germain Uzcategui,verified,
Germaine Uzcategui,80d153ff-7014-5830-acb1-e1162671323f,Germain Uzcategui,verified,
Germaine Uzcategui Jimenez,80d153ff-7014-5830-acb1-e1162671323f,Germain Uzcategui,verified,
Germaine Uzcátegui Jiménez,80d153ff-7014-5830-acb1-e1162671323f,Germain Uzcategui,verified,
GIANI ALMANZA,c7d606bd-4757-5779-9aea-33313bdb27fb,Gianni Almanza Amaya,verified,
GIANNI ALMANZA,c7d606bd-4757-5779-9aea-33313bdb27fb,Gianni Almanza Amaya,verified,
Gianni Almanza Amaya,c7d606bd-4757-5779-9aea-33313bdb27fb,Gianni Almanza Amaya,verified,
GIANNI ALMANZA- JULIAN FLOREZ,c7d606bd-4757-5779-9aea-33313bdb27fb,Gianni Almanza Amaya,verified,
Gianni Santucci,50060311-5315-5935-89b5-0f065029cd24,Gianni Santucci,verified,
Gianni Santucci,50060311-5315-5935-89b5-0f065029cd24,Gianni Santucci,verified,
Gianni Santucci Carrillo,50060311-5315-5935-89b5-0f065029cd24,Gianni Santucci,verified,
Gianni Santucci Carrillo,50060311-5315-5935-89b5-0f065029cd24,Gianni Santucci,verified,
Gibson Holub,6e298b9e-2cc2-50d3-9665-50993e5564d5,Gibson Holub,verified,
Gibson Holub -,6e298b9e-2cc2-50d3-9665-50993e5564d5,Gibson Holub,verified,
Gielnicki Damian,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,verified,
Gilles Bourgeois,92c4d817-2028-59ed-a0e7-2a37a0c55a55,Gilles Bourgeois,verified,
Gilles Demers,563baddd-8bf2-576f-b915-19fe76431eaa,Gilles Demers,verified,
Gonzalez Alan,e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,verified,reversed-name merge
Gorden Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Bevier -,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Scott Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Scott Flash Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gordon Scott Flash Bevier,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,verified,
Gosia Debska,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,verified,
Gosia Dębska,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,verified,
Gosia Dêbska,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,verified,
Gosia Debska,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,candidate,
Gosia Debski,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,candidate,
Gosia Deska,a737859a-35f6-51c8-9cd1-d5f54f88b8dd,Gosia Debska,candidate,
Gosia Nyc,07f95465-470d-502b-804d-643380e1385c,Gosia Nycz,verified,truncated_name
Gosia Nycz,07f95465-470d-502b-804d-643380e1385c,Gosia Nycz,verified,
Gosia Oledzka,dc19ddb6-e563-5c1c-a11d-4c3716b3befc,Gosia Oledzska,verified,
Gosia Oledzka,dc19ddb6-e563-5c1c-a11d-4c3716b3befc,Gosia Oledzska,verified,
Gosia Oledzska,dc19ddb6-e563-5c1c-a11d-4c3716b3befc,Gosia Oledzska,verified,
Gosia Szpulecka,9d1a8bfb-8715-58d6-b58d-d12713de8a24,Gosia Szpuleczka,verified,
Gosia Szpulecka,9d1a8bfb-8715-58d6-b58d-d12713de8a24,Gosia Szpuleczka,verified,
Gosia Szpuleczka,9d1a8bfb-8715-58d6-b58d-d12713de8a24,Gosia Szpuleczka,verified,
Grant Cobett,a039bd92-83bc-5ec8-9929-899b08c6aa11,Grant Corbett,verified,
Grant Corbett,a039bd92-83bc-5ec8-9929-899b08c6aa11,Grant Corbett,verified,
Grant Hayes,0a497c97-bf82-5bd1-a319-298d00821134,Grant Hayes,verified,
Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,verified,
Greg Durrett,64337714-3133-53d6-b29a-511ae9f14920,Greg Durrett,verified,
Greg Durrett -,64337714-3133-53d6-b29a-511ae9f14920,Greg Durrett,verified,
Greg Lee,69649e15-2788-5860-8751-e1797b31b147,Greg Lee,verified,
Greg Lima,c7a23f15-f2ed-5f2b-ac50-bb1adb185475,Greg Lima,verified,
Greg Lima David Chabannes,c7a23f15-f2ed-5f2b-ac50-bb1adb185475,Greg Lima,verified,quarantine_split:redirect_from_concat
Greg Nelson,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
Greg Nelson,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
Greg Nelson $15,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,junk-name cleanup
Greg Nelson California,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
Greg Nelson-,da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,verified,
Greg Neuman,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,verified,
Greg Neumann,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,verified,
Greg Neumann,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,verified,
Greg Nice,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,candidate,
Greg Nice,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,verified,
Greg Nice Neumann,cab98078-fdb2-557d-a5c9-799b41eb4f04,Greg Nice Neumann,verified,
Greg Potts,97771593-c865-5ac9-b7bf-c76ba6159476,Greg Potts,verified,
Greg Potts -,97771593-c865-5ac9-b7bf-c76ba6159476,Greg Potts,verified,
Greg Solis,fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,verified,
Grega Morel,cd054fc0-0dbe-582f-9e04-7b4b1d16cf23,Grega Morel,verified,
Gregoire Stoltz,9ca0a83c-5256-5d2d-aff9-58cc12147a67,Gregoire Stoltz,verified,
Grégoire Stoltz,9ca0a83c-5256-5d2d-aff9-58cc12147a67,Gregoire Stoltz,verified,
Grégoire Stolz,9ca0a83c-5256-5d2d-aff9-58cc12147a67,Gregoire Stoltz,verified,
Gregor Morel,cd054fc0-0dbe-582f-9e04-7b4b1d16cf23,Grega Morel,verified,same person; Gregor in doubles Grega in singles at same events
Gregory Lima,1c620d29-ca4e-5e52-bbbd-ec2186e8cd23,Gregory Lima,verified,
Grischa (FRA) Tellenbach,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,VERIFIED,merge:04642a7e-7902-5116-bdd7-dc5c53a72007; auto
Grischa Tellebach,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,
Grischa Tellenbach,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,
Grischa Tellenbach ????,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,
Grischa Tellenbach Bubba beater,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,
Grischa Tellenbach Damian Budzik,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,quarantine_split:redirect_from_concat
Grischa Tellenbach Vincent Rousseau,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,quarantine_split:redirect_from_concat
Grischa Tellenbach Vincent Rousseau,ec1d5118-cd4b-591f-a84a-04bbe20868bc,Grischa Tellenbach,verified,quarantine_split:redirect_from_concat
Guillaume Degat,dad697e8-36ed-598e-84b3-8105a2868685,Guillaume Degat,verified,
Guillaume Perrault Roy,316810af-fe84-5581-9c95-a34f2a353e94,Guillaume Perrault Roy,verified,
Guillaume Perreault,316810af-fe84-5581-9c95-a34f2a353e94,Guillaume Perrault Roy,verified,
GUILLERMO RAMIREZ,dc18b43c-4679-577c-8411-3c7134e59f91,Guillermo Ramirez,verified,
Guillermo Ramirez,dc18b43c-4679-577c-8411-3c7134e59f91,Guillermo Ramirez,verified,
Hakan Hellberg,1a1b1397-a4b8-5826-b51d-ff5391eba110,Hakan Hellberg,verified,
Håkan Hellberg,1a1b1397-a4b8-5826-b51d-ff5391eba110,Hakan Hellberg,verified,
Hakan Hellberg Magnus Hellberg,1a1b1397-a4b8-5826-b51d-ff5391eba110,Hakan Hellberg,verified,quarantine_split:redirect_from_concat
Hania Mickiewicz,d31ec18e-4fa1-5538-8eac-b7d5fcab24c6,Hannia Mickiewicz,verified,
Hanna Mickiewicz,d31ec18e-4fa1-5538-8eac-b7d5fcab24c6,Hannia Mickiewicz,verified,
Hanna Nigisch,ddcf69da-9ec0-5bbe-81e6-9d0294379d2b,Hannah Nigisch,verified,
Hanna Nigisch,ddcf69da-9ec0-5bbe-81e6-9d0294379d2b,Hannah Nigisch,verified,
Hannah Nigisch,ddcf69da-9ec0-5bbe-81e6-9d0294379d2b,Hannah Nigisch,verified,
Hannes Daniel,edcbfbae-aae6-51bf-aef4-41ae3cab0d19,Hannes Daniel,verified,
Hannia Mickiewicz,d31ec18e-4fa1-5538-8eac-b7d5fcab24c6,Hannia Mickiewicz,verified,
Hans Freller,3407f138-033b-5394-aa63-571171be4336,Hanz Freller,verified,
Hans Freller,3407f138-033b-5394-aa63-571171be4336,Hanz Freller,verified,
Hanz Frellar,3407f138-033b-5394-aa63-571171be4336,Hanz Freller,verified,
