event_key,legacy_event_id,year,event_name,event_slug,start_date,end_date,city,region,country,host_club,event_type,status,notes,source
2004_footbagjam_frankfurt_2,1094201584,2004,Frankfurt Footbag Open 2004,frankfurt_footbag_open_2004,2004-10-02,2004-10-03,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,mixed,completed,,mirror
2004_funtastik_summer,1075781798,2004,Funtastik Summer Classic Footbag Tournament,funtastik_summer_classic_footbag_tournament,2004-09-04,2004-09-06,Harrisburg,Pennsylvania,United States,,mixed,completed,,mirror
2004_footbagjam_frankfurt,1079444598,2004,German Footbag Open 2004,german_footbag_open_2004,2004-06-10,2004-06-12,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,mixed,completed,,mirror
2004_jfk,1083699966,2004,JFK Net Battle,jfk_net_battle,2004-05-16,2004-05-16,Jyväskylä,Central Finland,Finland,"Jyväskylän Footbag-klubi, JFK",net,completed,,mirror
2004_may_day_04,1079664495,2004,May Day '04,may_day_04,2004-05-01,2004-05-02,Victoria,British Columbia,Canada,Victoria Footbag,social,no_results,,mirror
2004_montpellier_sunny,1090569022,2004,Montpellier Sunny Jam Open,montpellier_sunny_jam_open,2004-09-04,2004-09-05,Montpellier,Occitanie,France,Icarus Footbag,net,completed,,mirror
2004_rnh_contest,1080138513,2004,RNH Contest 2004,rnh_contest_2004,2004-04-24,2004-04-25,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2004_russian_1,1076876907,2004,Russian Open Footbag Series/ Stage 1,russian_open_footbag_series_stage_1,2004-03-19,2004-03-21,Saint Petersburg,,Russia,,freestyle,completed,,mirror
2004_russian_2,1081766954,2004,Russian Open Footbag Series/ Stage 2,russian_open_footbag_series_stage_2,2004-05-08,2004-05-08,Moscow,,Russia,FOOTFORCE Moscow,mixed,completed,,mirror
2004_russian_4,1092044099,2004,Russian Open Footbag Series/ Stage 4,russian_open_footbag_series_stage_4,2004-08-27,2004-08-29,Moscow,,Russia,FOOTFORCE Moscow,mixed,completed,,mirror
2004_russian_5_brooks,1093955766,2004,"Russian Open Footbag Series/ Stage 5, Brooks Cup",russian_open_footbag_series_stage_5_brooks_cup,2004-09-11,2004-09-11,Moscow,,Russia,FOOTFORCE Moscow,mixed,completed,,mirror
2004_souf_southeastern,1076952530,2004,SOUF 2004 Southeastern Regional Footbag Championships,souf_2004_southeastern_regional_footbag_championships,2004-05-08,2004-05-08,Atlanta,Georgia,United States,,freestyle,completed,,mirror
2004_shercle_session_1,1079024287,2004,Shercle Session #1,shercle_session_1,2004-04-24,2004-04-24,Tallinn,Harju County,Estonia,Tallinn Footbag Club,freestyle,completed,,mirror
2004_space_city,1080757998,2004,Space City Freestyle Jam 2004,space_city_freestyle_jam_2004,2004-05-01,2004-05-02,Houston,Texas,United States,Houston Skyliners Footbag Club,freestyle,completed,,mirror
2004_swiat_zoski,1074511718,2004,Swiat Zoski,swiat_zoski,2004-03-05,2004-03-06,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,mixed,completed,,mirror
2004_todexon_5,1070734498,2004,TODEXON 5,todexon_5,2004-03-20,2004-03-20,Prague,,Czech Republic,Czech Footbag Association,freestyle,completed,,mirror
2004_windchill_lhivernal_de,1065478531,2004,The Windchill -- L'Hivernal de Footbag 2004,the_windchill_lhivernal_de_footbag_2004,2004-03-13,2004-03-13,Montreal,Quebec,Canada,Association Québécoise de Footbag,net,completed,,mirror
2004_turku,1080896073,2004,Turku Open 2004,turku_open_2004,2004-06-11,2004-06-12,Turku,Southwest Finland,Finland,Footcraft,net,completed,,mirror
2004_zocha,1090437706,2004,Zocha Jam 2004,zocha_jam_2004,2004-10-22,2004-10-23,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,mixed,completed,,mirror
2005_austrian_disc,1110562712,2005,2005 Austrian Footbag & Disc Open,2005_austrian_footbag_disc_open,2005-04-29,2005-05-01,Podersdorf am See,Burgenland,Austria,Footbag-Vienna,mixed,completed,,mirror
2005_usopen_portland,1113344236,2005,2005 IFPA U.S. OPEN FOOTBAG NET CHAMPIONSHIPS,2005_ifpa_u_s_open_footbag_net_championships,2005-06-18,2005-06-19,Portland,Oregon,United States,NPR,net,completed,,mirror
2005_worlds_helsinki,1102576153,2005,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,26th_annual_ifpa_world_footbag_championships,2005-07-23,2005-07-30,Helsinki,Uusimaa,Finland,Suomen Footbag Liitto ry. (Finnish Footbag Association),worlds,completed,,mirror
2005_championnat_de_france,1103297805,2005,2e Championnat de France de Footbag,2e_championnat_de_france_de_footbag,2005-03-26,2005-03-28,Lyon,Auvergne-Rhône-Alpes,France,,mixed,completed,,mirror
2005_footbagjam_gyor,1102788509,2005,3rd Annual Sunshred Footbag Open (LIVE),3rd_annual_sunshred_footbag_open_live,2005-02-26,2005-02-26,Győr,Győr-Moson-Sopron,Hungary,Sunshred Footbag Crew,freestyle,completed,,mirror
2005_years_frankfurt_e,1105353373,2005,5 years Frankfurt Footbag e.V.,5_years_frankfurt_footbag_e_v,2005-02-26,2005-02-26,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,mixed,completed,,mirror
2005_turku,1109802420,2005,6th Annual IFPA Turku Open,6th_annual_ifpa_turku_open,2005-06-18,2005-06-18,Turku,Southwest Finland,Finland,Footcraft,net,completed,,mirror
