effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
d89fdfa6-065c-5c40-9643-8a80a2674ac0,Peter Keil,e38cec86-e74d-584b-a0ca-abeb2df70734,Peter Keil,,,,overrides+data,Peter Keil,,,,keil,,
2b29c4b2-0477-5a24-8b1e-cc5d24ff5003,Peter Risum,400868d2-6527-5fbe-84f0-508bc469ce5e,Peter Risum,,,,overrides+data,Peter Risum,,,,risum,,
5f056e75-0943-584d-8969-c6a2a03760f2,Peter Shunny,0b1ce888-f150-51ec-a865-937ba4c0c9f5 | 4bd20a74-7071-5a32-b414-822a0989b455 | 60623b3d-84a0-5b91-a8b0-3a859e2f2243 | 9c741029-512f-5122-9eac-aced8ef39e65 | a28a7152-4b59-5aee-83b1-265d2af82819 | c6842fab-d590-552d-8150-f53e2e6d8bda | f098c0ea-a961-5fd0-bfe0-2ab436407a7e,Peter Shunny,,,,overrides+data,Peter Shunny,,,,shunny,,
2f546f67-4a42-559a-b1ea-51e5a8dbc38c,Peter Wallner,d1e381e2-a247-5d9c-bebe-8084477c3507,Peter Wallner,,,,overrides+data,Peter Wallner,,,,wallner,,
6669b3a5-bb94-5294-8e38-149850a151bb,Petko Tanev,257d8960-f251-5513-ae39-47811caa09dc,Petko Tanev,,,,overrides+data,Petko Tanev,,,,tanev,,
087d0517-57be-55b1-a44c-cc54cef176b7,Petr Brocka,39fd824b-fc40-52bf-9c79-603588ee21ad,Petr Brocka,,,,overrides+data,Petr Brocka,,,,brocka,,
0bbeeec5-2b0b-5d8d-8a1e-5b28d4374c1b,Petr Cerveny,16cd3fd4-35eb-5568-896c-0c5be575e89a,Petr Cerveny,,,,overrides+data,Petr Cerveny,,,,cerveny,,
384c1fd0-bc17-53d8-9680-55b03876dddf,Petr Fuèík,dd37a37d-90d0-5095-8f67-e26ff4c4b6e7 | b35c176f-c296-5cdf-8fe2-2633cf1f635a,Petr Fuèík | PETR FUCIK,PETR FUCIK,,merged from PETR FUCIK (bcd13c29),overrides+data,Petr Fuèík,,,,fuèík,,
e8bd1d69-d91a-5085-8cfe-d647affa2b0a,Petr Heralecký,0f317485-d9b3-530f-884b-a54e0222e9cd,Petr Heralecký,,,,overrides+data,Petr Heralecký,,,,heralecký,,
317a2847-0733-5dee-9558-5afbc8561046,Petr Loskot,1f8028d3-4632-532e-ad62-09fa2f71bf0d | 8c7a0848-d57a-5b40-9897-0ae9d52c462e | 9b2a3e88-8004-5d7a-92fa-6c5cdc486c82,Petr Loskot,,,,overrides+data,Petr Loskot,,,,loskot,,
bf058f46-4c2d-53cc-8caa-041c92a8f9fb,Petr Stejskal,3c4a434b-1fdb-5bc5-990f-53c7715a51ef | 58bacf51-a0aa-5f07-bd8c-315cea7d898f | 6c17b833-39be-537e-851d-59be56ef647a | dda65566-c8b8-5c74-b49e-c15b959d9950 | 7ba4d2c8-3781-520d-bc57-a7f1f289e104,Petr Stejskal | Petr Stejskal Pavel Cerveny | PETR STESKAL,Petr Stejskal Pavel Cerveny | PETR STESKAL,,merged from Petr Stejskal Pavel Cerveny (cf46bff4) | merged from PETR STESKAL (b4c5aff8),overrides+data,Petr Stejskal,,,,stejskal,,
478980c9-d72c-53e7-9892-3bcdf1de059f,Petr Stica,db3e6989-33f2-5c73-b746-81753b49544b,Petr Stica,,,,overrides+data,Petr Stica,,,,stica,,
fbf4911c-57fc-591f-9a77-258311cdaf95,Petri Karvonen,b6161bda-d551-5197-a204-3fd8724697a8,Petri Karvonen,,,,overrides+data,Petri Karvonen,,,,karvonen,,
0e483fdc-ef58-5f07-8fe9-d4eb5dc088cb,Petri Sievänen,6f9b4502-f728-5fc4-aee6-8aa82a2ac2ea,Petri Sievänen,,,,overrides+data,Petri Sievänen,,,,sievänen,,
0db6a0c8-57d8-589f-8822-a5c544f5bbf6,Petteri Petäinen,a2b5de9d-1791-5f19-86d6-076e571e89f8 | b2e95df5-5640-5e12-9cfd-3a8c061529bf,Petteri Petäinen,,,,overrides+data,Petteri Petäinen,,,,petäinen,,
f803457c-745e-5eba-b615-f710b7ff685a,Petur Krustev,fca08bc3-c61a-5edf-8bc1-71e832c14206,Petur Krustev,,,,overrides+data,Petur Krustev,,,,krustev,,
dab6b1fc-0f5c-5d40-88a9-fdb99cc76497,Phasing Rev,d4c89f29-f7ac-5453-93bf-3dc7be606a54,Phasing Rev,,,,overrides+data,Phasing Rev,,,,rev,,
