event_key,discipline_key,placement,participant_order,display_name,person_id,notes
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,4,1,Yves Kreil,b274fbcc-9283-5e2e-9c68-704f3212796e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,4,2,Luke Legault,b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,5,1,JF Lemieux,c1f4a6a4-7905-5276-98df-cbad30981800,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,5,2,Greg Lima,c7a23f15-f2ed-5f2b-ac50-bb1adb185475,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,6,1,P.T. Lovern,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,6,2,Jeremy Mirken,31bd4e75-1a44-56b4-94b3-071cdc8dee82,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,7,1,François Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,7,2,Benjamin Rochon,c312c02d-8a8c-5c73-8b68-65fc9e3fa453,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,8,1,Jack Harris,7c8cfb20-ed0b-5203-89ea-46dea3ebf0e0,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,8,2,John Leys,3b938feb-b4c7-59a1-929f-7b62be77c1ce,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,9,1,Karim Daouk,eb025239-b9ab-5cef-9307-7639f88a225a,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,9,2,Jani Markkanen,0dee73bb-caed-5f5c-9c20-5ea946939871,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,10,1,Lino Landau,fbf52ca9-ba84-50bc-bce9-0244718c18e7,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,10,2,Grischa Tellenbach,ec1d5118-cd4b-591f-a84a-04bbe20868bc,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,11,1,Sébastien Duchesne,6dd904b7-11c6-5d62-af34-dad61040e67e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,11,2,Antonio Fritsch,34055beb-ed72-59a5-9b38-c5ffbac4d70e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,12,1,Uli Haase,0354318e-9155-5e89-85c4-058a9dcf310a,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,12,2,Manuel Kruse,fd8d3afc-a726-5ac8-841c-be6459e303bf,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,13,1,Carlos Márquez,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,13,2,Tuan Vu,28565dd0-2196-5404-bf23-6cf0617ce79b,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,14,1,Mouss Kabbal,897d9022-b9cd-5d56-b9c8-19d31f38b5a7,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,14,2,Sébastien Maillet,a9518594-35d9-53cd-8e8d-a7bc4de94236,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,15,1,Alex Bartsch,45b40a79-0205-5653-b18d-237dc54e3692,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,15,2,Chris Löw,59b9b60b-1697-54f8-98d1-eaed43e99f65,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,16,1,Justin Eichenlaub,c476f406-2f03-5f67-88aa-f90dcc36ac42,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,16,2,Victor Lezama,2cfacf64-c589-5b3a-bf00-d42be8c82c8e,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,17,1,Markus Kaspczak,9c8376c9-68ea-572f-abe2-822871cf0e7b,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,17,2,Eurik Lindner,fc767e35-5ca6-5aec-9080-269c6846e7fb,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,18,1,Faris Barakat,0012c28e-3f60-5c87-8d19-869ef819e724,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,18,2,Phil Schaefer,1ef51b9d-a795-592e-8d0c-46184f784bf4,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,19,1,Philippe Lessard,87216aed-3048-50f7-8c54-d7e9e7bb52f3,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,19,2,Jukka Peltola,75ffbeae-598c-5593-8e64-b3163c809b9c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,20,1,Rafał Andryka,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,20,2,Maciej Samborowski,514d386e-d6e1-5342-b2a1-6429daf35c0c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,21,1,Jaakko Inkinen,58cca5c0-0120-5bf1-a40e-ae4f46712dc1,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,21,2,Amaya Straeten,6e1b0db3-cea0-598f-a6a4-b099fe5c8161,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,22,1,Vesa Ruuskanen,b6a71d11-bab9-59b1-b716-117ed2dc36c0,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,22,2,Timo Vorne,5d0a7015-9291-561a-aad6-a1ac57d3454d,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,23,1,Miquel Clemente,2eaccb7b-430c-5678-b982-9415b20b24cf,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,23,2,Hakan Hellberg,1a1b1397-a4b8-5826-b51d-ff5391eba110,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,24,1,Yassin Khateeb,4f12fea1-3237-5a49-bc94-31fd3e10d91c,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,24,2,Joona Koistinen,68470003-63c3-56a1-a0e3-23004628d469,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,25,1,Yves Mingard,c4f49339-ef54-500b-bedc-3e3ae2e081e1,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,25,2,Renato Zülli,73961edb-d45f-5638-9401-1a0de345da6f,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,26,1,Evgeni Shiryaev,24fb402d-fa5a-53c4-9d1a-e2c4667ccd4d,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,26,2,Alexander Smirnov,9b0f06c8-7ef6-5145-9e2b-e80c48a06615,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,27,1,Micha Klimczak,71b15435-b697-536a-8886-7d68c1369069,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,27,2,Michal Rog,392ef8ff-d969-5917-8bc5-176805ecb787,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,28,1,Jyri Ilama,8769fa9e-200a-505d-b008-889add42a38b,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,28,2,Tammo Rockel,ecf4cab4-a4f2-549d-85fb-5d8528db3948,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,29,1,Wojciech Jamski,2fe08509-fcb3-5ecd-8828-40411bc4a036,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,29,2,Piotrek Koscielny,64336b8d-cd07-5851-a083-617bb0f65bee,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,30,1,Jani Lirkki,3d1a7216-f5c6-58ef-b850-743fe1db4cc9,
