section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location
World Record Progression,Open Singles Consecutive,501,Consecutive Kicks,Open Singles,1976,,Terry Pierson,,344,,,,,
World Record Progression,Open Singles Consecutive,502,Consecutive Kicks,Open Singles,1976,,John Stalberger,,493,,,,
World Record Progression,Open Singles Consecutive,503,Consecutive Kicks,Open Singles,1976,,John Stalberger,,644,,,,
World Record Progression,Open Singles Consecutive,504,Consecutive Kicks,Open Singles,1977,,John Stalberger,,828,,,,
World Record Progression,Open Singles Consecutive,505,Consecutive Kicks,Open Singles,1978,,John Stalberger,,1518,,,,
World Record Progression,Open Singles Consecutive,506,Consecutive Kicks,Open Singles,1979,,Jack Schoolcraft,,2705,,,,
World Record Progression,Open Singles Consecutive,507,Consecutive Kicks,Open Singles,1980,,Ken Shults,,4515,,,,
World Record Progression,Open Singles Consecutive,508,Consecutive Kicks,Open Singles,1981,,Ken Shults,,7138,,,,
World Record Progression,Open Singles Consecutive,509,Consecutive Kicks,Open Singles,1982,,Ken Shults,,13901,,,,
World Record Progression,Open Singles Consecutive,510,Consecutive Kicks,Open Singles,1983,,Andy Linder,,17872,,,,
World Record Progression,Open Singles Consecutive,511,Consecutive Kicks,Open Singles,1985,,Andy Linder,,21135,,,,
World Record Progression,Open Singles Consecutive,512,Consecutive Kicks,Open Singles,1985,,Andy Linder,,28239,,,,
World Record Progression,Open Singles Consecutive,513,Consecutive Kicks,Open Singles,1985,,Andy Linder,,32598,,,,
World Record Progression,Open Singles Consecutive,514,Consecutive Kicks,Open Singles,1986,,Andy Linder,,36230,,,,
World Record Progression,Open Singles Consecutive,515,Consecutive Kicks,Open Singles,1988,,Ted Martin,,48825,,,,
World Record Progression,Open Singles Consecutive,516,Consecutive Kicks,Open Singles,1993,,Ted Martin,,51155,,,,
World Record Progression,Open Singles Consecutive,517,Consecutive Kicks,Open Singles,1997,,Gary Lautt,,52355,,,,
World Record Progression,Open Singles Consecutive,518,Consecutive Kicks,Open Singles,1997,,Ted Martin,,63326,,,,
World Record Progression,Women's Singles Consecutive,601,Consecutive Kicks,Women's Singles,1981,,Kalia Kliban,,393,,,,
World Record Progression,Women's Singles Consecutive,602,Consecutive Kicks,Women's Singles,1984,,Tricia George,,1221,,,,
World Record Progression,Women's Singles Consecutive,603,Consecutive Kicks,Women's Singles,1984,,Tricia George,,2591,,,,
World Record Progression,Women's Singles Consecutive,604,Consecutive Kicks,Women's Singles,1985,,Tricia George,,12838,,,,
World Record Progression,Women's Singles Consecutive,605,Consecutive Kicks,Women's Singles,1987,,Francine Beaudry,,15458,,,,
World Record Progression,Women's Singles Consecutive,606,Consecutive Kicks,Women's Singles,1995,,Constance Constable,,17669,,,,
World Record Progression,Women's Singles Consecutive,607,Consecutive Kicks,Women's Singles,1995,,Constance Constable,,18936,,,,
World Record Progression,Women's Singles Consecutive,608,Consecutive Kicks,Women's Singles,1996,,Tricia George,,20717,,,,
World Record Progression,Women's Singles Consecutive,609,Consecutive Kicks,Women's Singles,1998,,Constance Constable,,24713,,,,
