event_name,year,location,category,division,place,player_1,player_2,score,notes
Rocky Mountain Open 1982,1982,"Colorado, United States",NET,Open Doubles Net,1,John East,Peter Shunny,,FBW-V3N3
Rocky Mountain Open 1982,1982,"Colorado, United States",FREESTYLE,Freestyle,3,Rick Shipley,,,FBW-V3N3
