event_name,year,location,category,division,place,player_1,player_2,score,notes
European Footbag Championships 1984,1984,,NET,Open Singles Net,1,Stefan Deffner,,,FBW-V4N1
European Footbag Championships 1984,1984,,NET,Open Singles Net,2,Jusuf Arslan,,,FBW-V4N1
