event_name,year,division,place,player_1,player_2
WFA Rocky Mountain Regionals,1985,Open Singles,1,Andy Linder,
WFA Rocky Mountain Regionals,1985,Open Singles,2,Ron Green,
WFA Rocky Mountain Regionals,1985,Open Doubles,1,Jon Simpson,Andy Linder
WFA Rocky Mountain Regionals,1985,Advanced Singles,1,Andy Linder,
WFA Rocky Mountain Regionals,1985,Advanced Freestyle,1,Derrick Fogle,
WFA Rocky Mountain Regionals,1985,Advanced Freestyle,2,Jim Steinhibel,
WFA Rocky Mountain Regionals,1985,Singles Consecutive,1,Andy Linder,
WFA Rocky Mountain Regionals,1985,Singles Consecutive,2,Derrick Fogle,
