event_name,year,location,category,division,place,player_1,player_2,score,notes
1992 European Championships,1992,,NET,Open Singles Net,1,Rico Bevier,,,
1992 European Championships,1992,,NET,Open Singles Net,2,Torbin Wigge,,,
1992 European Championships,1992,,NET,Open Singles Net,3,Sven Nordman,,,
1992 European Championships,1992,,NET,Open Doubles Net,1,Rico Bevier,Hannes Mahler,,
1992 European Championships,1992,,NET,Open Doubles Net,2,Matthias Wigge,Torbin Wigge,,
1992 European Championships,1992,,NET,Open Doubles Net,3,Ulf Bevier,Tore Nordman,,
1992 European Championships,1992,,NET,Women's Singles Net,1,Anja Bevier,,,
1992 European Championships,1992,,NET,Mixed Doubles Net,1,Anja Bevier,Rico Bevier,,
1992 European Championships,1992,,FREESTYLE,Open Singles Freestyle,1,Rico Bevier,,,
1992 European Championships,1992,,FREESTYLE,Open Singles Freestyle,2,Hannes Mahler,,,
1992 European Championships,1992,,FREESTYLE,Open Singles Freestyle,3,Sven Nordman,,,
1992 European Championships,1992,,FREESTYLE,Open Team Freestyle,1,Rico Bevier,Hannes Mahler,,
1992 European Championships,1992,,FREESTYLE,Open Team Freestyle,2,Ulf Bevier,Oliver ?,,unresolved: Oliver ?
1992 European Championships,1992,,FREESTYLE,Open Team Freestyle,3,Stefan ?,Axel ?,,unresolved: Stefan ? / Axel ?
1992 European Championships,1992,,GOLF,Open Golf,1,Torbin Wigge,,,
1992 European Championships,1992,,GOLF,Open Golf,2,Tore Nordman,,,
1992 European Championships,1992,,GOLF,Open Golf,3,Stefan ?,,, unresolved: Stefan ?
