event_name,year,division,place,player_1,player_2
1985 Holiday Classic,1985,Singles Freestyle,1,Kenny Shults,
1985 Holiday Classic,1985,Singles Freestyle,2,Jack Schoolcraft,
1985 Holiday Classic,1985,Team Freestyle,1,Greg Cortopassi,Jim Caveney
1985 Holiday Classic,1985,Team Freestyle,2,Pat Belber,Kenny Shults
