event_name,year,location,category,division,place,player_1,player_2,score,notes
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Sgls Net,1,John Stalberger,,,
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Sgls Net,2,Walt Mason,,,
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Sgls Net,3,Kenny Shults,,,
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Dbls Net,1,John Stalberger,Max Smith Jr.,,
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Dbls Net,2,Mag Hughes,Walt Mason,,
Mike Marshall Memorial,1980,"San Jose, California, United States",NET,Open Dbls Net,3,Gale Bigler,Dave Frazier,,
Mike Marshall Memorial,1980,"San Jose, California, United States",CONSECUTIVE,Open Sgls Consecutive,1,Kenny Shults,,,
Mike Marshall Memorial,1980,"San Jose, California, United States",CONSECUTIVE,Open Dbls Consecutive,1,Kenny Shults,Mike Harding,,
