event_name,year,division,place,player_1,player_2
Greatest Lakes Footbag Open,1985,Womens Open Singles,1,Trudy Archdale,
Greatest Lakes Footbag Open,1985,Womens Open Singles,2,Constance Reed,
Greatest Lakes Footbag Open,1985,Open Singles,1,Charlie Hallowell,
Greatest Lakes Footbag Open,1985,Open Doubles,1,Dan Teichman,Charlie Hallowell
Greatest Lakes Footbag Open,1985,Advanced Singles,1,Greg Cortopassi,
Greatest Lakes Footbag Open,1985,Advanced Doubles,1,Bruce Guettlich,Mag Hughes
Greatest Lakes Footbag Open,1985,Ultra Doubles,1,Bruce Guettlich,Greg Cortopassi
