event_name,year,location,category,division,place,player_1,player_2,score,notes
World Footbag Championships 1984 (IFAB),1984,"Oregon City, Oregon, United States",NET,Open Singles Net,1,Peter Shunny,,,IFAB-RB-P4
World Footbag Championships 1984 (IFAB),1984,"Oregon City, Oregon, United States",NET,Open Singles Net,2,Mike Marshall,,,IFAB-RB-P4
World Footbag Championships 1984 (IFAB),1984,"Oregon City, Oregon, United States",NET,Open Singles Net,3,John East,,,IFAB-RB-P4
World Footbag Championships 1984 (IFAB),1984,"Oregon City, Oregon, United States",NET,Womens Singles Net,1,Tami Peltz,,,IFAB-RB-P4
