event_name,year,location,category,division,place,player_1,player_2,score,notes
Texas State Footbag Championships 1981,1981,"Texas, United States",NET,Open Singles Net,1,Mike Marshall,,,FBW-V3N1
Texas State Footbag Championships 1981,1981,"Texas, United States",NET,Open Singles Net,2,Peter Shunny,,,FBW-V3N1
