event_name,year,location,category,division,place,player_1,player_2,score,notes
National Footbag Championships,1980,United States,NET,Open Singles,1,John Stalberger,,"12,411",
National Footbag Championships,1980,United States,NET,Open Singles,2,Ken Eldrick,,"10,214",
