event_name,year,location,division,place,player_name,score,notes
1990 WFA World Championships,1990,,Men's Overall,1,Kenny Shults,,
1990 WFA World Championships,1990,,Women's Overall,1,Jody Welch,,
1990 WFA World Championships,1990,,Open Sgls Net,1,Kenny Shults,,
1990 WFA World Championships,1990,,Open Sgls Net,2,Dave Robinson,,
1990 WFA World Championships,1990,,Open Sgls Net,3,Chris Routh,,
1990 WFA World Championships,1990,,Open Dbls Net,1,Mag Hughes,,doubles
1990 WFA World Championships,1990,,Open Dbls Net,1,Kenny Shults,,doubles
1990 WFA World Championships,1990,,Open Dbls Net,2,Ken Hamric,,doubles
1990 WFA World Championships,1990,,Open Dbls Net,2,Chris Routh,,doubles
1990 WFA World Championships,1990,,Open Dbls Net,3,Peter Shunny,,doubles
1990 WFA World Championships,1990,,Open Dbls Net,3,Bruce Guettich,,doubles
1990 WFA World Championships,1990,,Women's Sgls Net,1,Jody Welch,,
1990 WFA World Championships,1990,,Women's Sgls Net,2,Lisa McDaniel,,
1990 WFA World Championships,1990,,Women's Sgls Net,3,Tricia George,,
1990 WFA World Championships,1990,,Women's Dbls Net,1,Tricia George,,doubles
1990 WFA World Championships,1990,,Women's Dbls Net,1,Jody Welch,,doubles
1990 WFA World Championships,1990,,Women's Dbls Net,2,Julie Symons,,doubles
1990 WFA World Championships,1990,,Women's Dbls Net,2,Constance Constable,,doubles
1990 WFA World Championships,1990,,Women's Dbls Net,3,Tina Lewis,,doubles
1990 WFA World Championships,1990,,Women's Dbls Net,3,Heather Muggleton,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,1,Tricia George,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,1,Chris Routh,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,2,Jody Welch,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,2,Brent Welch,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,3,Kendall KIC,,doubles
1990 WFA World Championships,1990,,Mixed Dbls Net,3,Kenny Shults,,doubles
1990 WFA World Championships,1990,,Open Sgls Freestyle,1,Kenny Shults,,
1990 WFA World Championships,1990,,Open Sgls Freestyle,2,Jack Schoolcraft,,
1990 WFA World Championships,1990,,Open Sgls Freestyle,3,Brent Welch,,
1990 WFA World Championships,1990,,Open Team Freestyle,1,Greg Nelson,,doubles
1990 WFA World Championships,1990,,Open Team Freestyle,1,Tay Moldenhauser,,doubles
1990 WFA World Championships,1990,,Open Team Freestyle,2,Rick Reese,,doubles
1990 WFA World Championships,1990,,Open Team Freestyle,2,Dave Yevin,,doubles
1990 WFA World Championships,1990,,Open Team Freestyle,3,Brent Welch,,doubles
1990 WFA World Championships,1990,,Open Team Freestyle,3,Etienne Constable,,doubles
1990 WFA World Championships,1990,,Women's Sgls Freestyle,1,Constance Constable,,
1990 WFA World Championships,1990,,Women's Sgls Freestyle,2,Jody Welch,,
1990 WFA World Championships,1990,,Women's Sgls Freestyle,3,Tricia George,,
1990 WFA World Championships,1990,,Women's Team Freestyle,1,Lisa McDaniel,,doubles
1990 WFA World Championships,1990,,Women's Team Freestyle,1,Sam Conlon,,doubles
1990 WFA World Championships,1990,,Women's Team Freestyle,2,Constance Constable,,doubles
1990 WFA World Championships,1990,,Women's Team Freestyle,2,Julie Symons,,doubles
1990 WFA World Championships,1990,,Women's Team Freestyle,3,Jody Welch,,doubles
1990 WFA World Championships,1990,,Women's Team Freestyle,3,Tricia George,,doubles
1990 WFA World Championships,1990,,Open Sgls 5-minute Consecutive,1,Kenny Shults,,
1990 WFA World Championships,1990,,Open Sgls 5-minute Consecutive,2,Derrick Fogle,,
1990 WFA World Championships,1990,,Open Sgls 5-minute Consecutive,3,Gary Lautt,,
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,1,Peter Shunny,,doubles
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,1,Bruce Guettich,,doubles
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,2,Mag Hughes,,doubles
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,2,Kenny Shults,,doubles
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,3,Chris Donofrio,,doubles
1990 WFA World Championships,1990,,Open Dbls Distance 1-pass Consecutive,3,Eric Bartholoman,,doubles
1990 WFA World Championships,1990,,Women's Sgls 5-minute Consecutive,1,Jody Welch,,
1990 WFA World Championships,1990,,Women's Sgls 5-minute Consecutive,2,Tricia George,,
1990 WFA World Championships,1990,,Women's Sgls 5-minute Consecutive,3,Sam Conlon,,
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,1,Jody Welch,,doubles
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,1,Tricia George,,doubles
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,2,Constance Constable,,doubles
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,2,Julie Symons,,doubles
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,3,Lisa McDaniel,,doubles
1990 WFA World Championships,1990,,Women's Dbls Distance 1-pass Consecutive,3,Sam Conlon,,doubles
1990 WFA World Championships,1990,,Open Golf,1,Bruce Guettich,,
1990 WFA World Championships,1990,,Open Golf,2,Jeff Johnson,,
1990 WFA World Championships,1990,,Open Golf,3,Reed Gray,,
1990 WFA World Championships,1990,,Women's Golf,1,Jody Welch,,
1990 WFA World Championships,1990,,Women's Golf,2,Tricia George,,
1990 WFA World Championships,1990,,Women's Golf,3,Lisa McDaniel,,
1991 WFA World Championships,1991,,Men's Overall,1,Kenny Shults,,
1991 WFA World Championships,1991,,Women's Overall,1,Jody Welch,,
1991 WFA World Championships,1991,,Open Sgls Net,1,Randy Mulder,,
1991 WFA World Championships,1991,,Open Sgls Net,2,Dave Robinson,,
1991 WFA World Championships,1991,,Open Sgls Net,3,Remi Kristensen,,
1991 WFA World Championships,1991,,Open Dbls Net,1,Chris Routh,,doubles
1991 WFA World Championships,1991,,Open Dbls Net,1,Jim Caveney,,doubles
1991 WFA World Championships,1991,,Open Dbls Net,2,Mag Hughes,,doubles
1991 WFA World Championships,1991,,Open Dbls Net,2,Kenny Shults,,doubles
1991 WFA World Championships,1991,,Open Dbls Net,3,Peter Shunny,,doubles
1991 WFA World Championships,1991,,Open Dbls Net,3,Randy Mulder,,doubles
1991 WFA World Championships,1991,,Women's Sgls Net,1,Jody Welch,,
1991 WFA World Championships,1991,,Women's Sgls Net,2,Lisa McDaniel,,
1991 WFA World Championships,1991,,Women's Sgls Net,3,Constance Constable,,
1991 WFA World Championships,1991,,Women's Dbls Net,1,Tricia George,,doubles
1991 WFA World Championships,1991,,Women's Dbls Net,1,Jody Welch,,doubles
