event_name,year,location,category,division,place,player_1,player_2,score,notes
10th Annual Western Regional Footbag Championships,1994,,NET,Open Singles Footbag Net,1,Dan Borsky,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Open Singles Footbag Net,2,Chris Routh,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Open Singles Footbag Net,3,Brent Stewart,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Open Doubles Footbag Net,1,Dan Borsky,Chris Routh,,
10th Annual Western Regional Footbag Championships,1994,,NET,Open Doubles Footbag Net,2,Brent Welch,Jim Caveney,,
10th Annual Western Regional Footbag Championships,1994,,NET,Open Doubles Footbag Net,3,Indra Murali,Andrew Ronald,,
10th Annual Western Regional Footbag Championships,1994,,NET,Women's Singles Footbag Net,1,Lisa McDaniel,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Women's Singles Footbag Net,2,Julie McClurg,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Women's Singles Footbag Net,3,Jody Welch,,,
10th Annual Western Regional Footbag Championships,1994,,NET,Mixed Doubles Footbag Net,1,Dan Borsky,Lisa McDaniel,,
10th Annual Western Regional Footbag Championships,1994,,NET,Mixed Doubles Footbag Net,2,Brent Welch,Jody Welch,,
10th Annual Western Regional Footbag Championships,1994,,NET,Mixed Doubles Footbag Net,3,Chris Routh,Tricia George,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,1,Greg Nelson,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,2,Kenny Shults,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Singles Footbag Freestyle,3,Dennis Ross,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,1,Dennis Ross,Jon Lind,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,2,Kenny Shults,Rick Reese,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Open Team Footbag Freestyle,3,Etienne Constable,Andrew Ronald,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Singles Footbag Freestyle,1,Tricia George,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Singles Footbag Freestyle,2,Sam Conlon,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Singles Footbag Freestyle,3,Jody Welch,,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Team Footbag Freestyle,1,Lisa McDaniel,Sam Conlon,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Team Footbag Freestyle,2,Jody Welch,Tricia George,,
10th Annual Western Regional Footbag Championships,1994,,FREESTYLE,Women's Team Footbag Freestyle,3,Julie McClurg,Heather Thomas,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Open Footbag Golf,1,Jon Lind,,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Open Footbag Golf,2,Indra Murali,,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Open Footbag Golf,3,Tony Kic,,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Women's Footbag Golf,1,Julie McClurg,,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Women's Footbag Golf,2,Tricia George,,,
10th Annual Western Regional Footbag Championships,1994,,GOLF,Women's Footbag Golf,3,Karla Clark,,,
